Rank,Class,ModelYear,Manufacturer,ModelName,VehicleType,Weight,DriveType,Transmission,Gears,FuelDelivery,Horsepower,EngineDisplacement,MPG_City,MPG_Hwy,AvgMPG
Low,Car,1975,GM,TORONADO,Sedan/Wagon,5500,Front,Automatic,,Carb,175,455,7.7,9.4,
Low,Car,1976,Jaguar Land Rover,JENSEN,Sedan/Wagon,4500,Rear,Automatic,,Carb,250,440,7.7,9.9,
Low,Car,1977,BMW,ROLLS ROYCE,Sedan/Wagon,5500,Rear,Automatic,,Carb,170,412,7.8,8.9,
Low,Car,1978,Stellantis,MONACO,Sedan/Wagon,5000,Rear,Automatic,,Carb,240,440,7.5,8.7,
Low,Car,1979,Aston Martin,ASTON MARTIN V8,Sedan/Wagon,4500,Rear,Manual,,Carb,60,326,6.8,9.7,
Low,Car,1980,Aston Martin,79 ASTON MARTIN,Sedan/Wagon,4500,Rear,Manual,,Carb,275,326,6.8,9.7,
Low,Car,1981,BMW,CAMARGUE,Sedan/Wagon,5500,Rear,Automatic,,Port,170,412,8,9.5,
Low,Car,1981,BMW,CORNICHE,Sedan/Wagon,5500,Rear,Automatic,,Port,170,412,8,9.5,
Low,Car,1982,Stellantis,QUATTROPORTE,Sedan/Wagon,5000,Rear,Automatic with Lockup,,Carb,288,301,7.6,9.8,
Low,Car,1983,Stellantis,QUATTROPORTE,Sedan/Wagon,5000,Rear,Automatic with Lockup,,Carb,288,301,7.6,9.8,
Low,Car,1984,Stellantis,QUATTROPORTE,Sedan/Wagon,5000,Rear,Automatic with Lockup,,Carb,288,301,7.6,9.8,
Low,Car,1985,Stellantis,QUATTROPORTE,Sedan/Wagon,5000,Rear,Automatic with Lockup,,Carb,288,301,7.6,9.8,
Low,Car,1986,VW,COUNTACH,Sedan/Wagon,3500,Rear,Manual,,Port,420,315,6.1,10.4,
Low,Car,1987,VW,COUNTACH,Sedan/Wagon,3500,Rear,Manual,,Port,420,315,6.1,10.4,
Low,Car,1988,VW,COUNTACH,Sedan/Wagon,3500,Rear,Manual,,Port,420,315,6.1,10.4,
Low,Car,1989,VW,COUNTACH,Sedan/Wagon,3500,Rear,Manual,,TBI,420,315,6,10.3,
Low,Car,1990,Aston Martin,LAG,Sedan/Wagon,5000,Rear,Automatic with Lockup,,Port,240,326,8.2,10.7,
Low,Car,1991,Vector,VECTOR W8,Sedan/Wagon,4000,Rear,Automatic,,Port,450,365,7.2,10.5,
Low,Car,1992,Vector,VECTOR W8,Sedan/Wagon,4000,Rear,Automatic,,Port,450,365,7.2,10.5,
Low,Car,1993,Vector,VECTOR W8,Sedan/Wagon,4000,Rear,Automatic,,Port,450,365,7.1,10.4,
Low,Car,1994,VW,DB132/DIABLO,Sedan/Wagon,4000,4wd,Manual,,Port,492,348,9,13.7,
Low,Car,1995,Stellantis,FERRARI F50,Sedan/Wagon,3000,Rear,Manual,6,Port,510,287,7.3,10.7,
Low,Car,1996,VW,AVTECH SC - M12,Sedan/Wagon,4000,Rear,Manual,5,Port,492,348,8.5,12.2,
Low,Car,1997,VW,DB132-144 - DIABLO,Sedan/Wagon,4000,4wd,Manual,5,Port,492,348,8.7,13.6,
Low,Car,1998,Ferrari,FERRARI 550 MARANELLO,Sedan/Wagon,4000,Rear,Manual,6,Port,475,334,8.6,14.1,
Low,Car,1999,Stellantis,FERRARI 550 MARANELLO,Sedan/Wagon,4000,Rear,Manual,6,Port,475,334,8.5,13.4,
Low,Car,2000,Stellantis,FERRARI 550 MARANELLO,Sedan/Wagon,4000,Rear,Manual,6,Port,475,334,7.9,12.4,
Low,Car,2001,Stellantis,FERRARI 550 MARANELLO-BARCHE,Sedan/Wagon,4000,Rear,Manual,6,Port,475,334,7.9,12.4,
Low,Car,2002,VW,L-147 MURCIELAGO,Sedan/Wagon,4000,4wd,Manual,6,Port,580,378,8.4,12,
Low,Car,2003,Stellantis,ENZO FERRARI,Sedan/Wagon,3500,Rear,Automatic with Lockup,6,Port,646,366,7.1,11.6,
Low,Car,2004,VW,L-147-148 MURCIELAGO,Sedan/Wagon,4000,4wd,Manual,6,Port,580,378,8.4,12.5,
Low,Car,2005,VW,L-147-148 MURCIELAGO,Sedan/Wagon,4000,4wd,Manual,6,Port,580,378,8.3,12.5,
